user_id,song_id,play_count
956999576244ad42d6d41faac8505fbef0a4ccc1,SOCELOG12A6D4FC1E5,2
4208d4ac45e7caab7167a4ea6d34e759a6b9a1fc,SOPPROJ12AB0184E18,5
ea64e003562d2f0f39e5a7dd84af5b1969e0fea3,SOHTZUF12A8C13582B,3
9b633384fe2be667725bedc568d50a96532deca1,SOTASGN12AC9075A8F,2
93235f9469ab99ee196f320d1336c4fb21ae8d59,SODONRL12A8151BA73,2
ac1cb58f839ae6773732125e99b4a7394e0661e4,SOMRRWP12A6D4FB3B0,2
0afcc0e9095c8efaa6efc60db63e5f3b7a5a5000,SOEDLBY12AC960DDFD,1
942dffcd3aa7b7a98b405b1c0b3cbaab24c5fa4a,SOCATBW12AB017B18A,1
f625cabc005f268d8d9f5a46c4072bd49e3e6d4c,SODGVGW12AC9075A8D,4
9dc8b0f000792df949a0a0ad8eba2724335568f7,SOHVYCB12A6701D200,1
1a8e983b0ddd773a07fae472963fab951e1e6307,SONIAHN12A58A7B87A,3
f86d07cafe10bf1c1ac73c0c14e58ba01084087b,SOHGKDZ12A58A76F97,1
f86d07cafe10bf1c1ac73c0c14e58ba01084087b,SOUVLRM12A8C141A0E,3
06b57ae674fe035f38727ec2f305a9e770d9bb42,SOLTAVH12AC468D155,1
ac2a3bed0af41164a7bc009188de2634f105d214,SOYCXUA12A8C133713,1
21388cacaa69d860fa639dc90ebc29cfa9614922,SOEWYLX12A6D4F8E5F,3
ae42b23c02139ca2fcaf97de0166675d303ff89c,SOQHLZZ12A8C136365,1
746df2e99526b4e00a45fca7c27edf6f07d95059,SOXAOAJ12AB0184578,5
8f079cac63fbc3c32d25f72b69d8d2f893fa8a4c,SOYAHAV12A8C133742,2
e12db024c6726a062bbdf455522b73ae260451b9,SOUOTLX12A6D4FA186,2
de3ca97231209ac0ab07ca7de0bebea83c8b18ad,SOMOUKU12AB01883B0,1
0da390e938dd8e48c11d49df166d39d66bfd7660,SOUFQYN12A6D4F4922,1
f5f767d031151f1410e0cd96a4446ea70a8f26e3,SOGACXN12AB0188245,1
3200247a4d36a9bfc929e2753194f58551ea49e7,SOFFHJL12AF72A4A08,1
9fe4b4aeaed1af9ddf07ca813434393857a6c988,SOBLRDY12A6D4F8EF4,1
5968a59e582f434a223b3786cd51c9f4690b38d4,SOSXDEA12A8C13AB7A,1
7dfd286c97ac9b30faaba2820601b7bb9f626ea1,SOIOYPM12A6D4F9593,2
dbc3cacfd684810cbb5bf78d6b8eeb944e3b5980,SOSXZRY12A8C1442F0,1
7f7017ded64749adc5b5b606f794719306113747,SOFKXAF12AB01847FB,1
b73c8c042a3a098766da277efb3cb424a91c8c25,SOULUTZ12A8C13FCDB,2
90d2951cd918fa4630a4121ebe64ae069060983d,SOIIMGU12AF72A5401,1
ccfa531bd73c0b71e75f9dea32984d6ea220ff6e,SONVDBZ12A58A7A571,1
f16e9bab54f30b3c7229fbb112f395ee3926c7b7,SOHOXJD12AF72A74AD,1
a9b3b158a9dca341f6d07f58ae169762348929d1,SODZBMD12A8C130160,1
b3bda43148fb16602e0839344c7e4ae82277b68c,SOIMZJE12AB01808BB,1
1084a0bcdd0cb7ec41136d2cd2ce3d0980a98aad,SOVXKNF12AB0189AC1,1
98138a020048aeeee0c6a25cea7ee96bdb879db4,SOOWGUC12AB017E1BD,1
3e6ef2a572d1f6f06df71bf28190eae9e1934a61,SOCZVRV12A8C140216,1
dbcd751c4295792ab5108470ad1ddbb32f594a88,SOGTIAB12A8C13A8FD,1
dfc6f0e512bffc6ca56c7eea7734ea1f131f8c74,SOWTISX12A6D4F9022,11
5ec0bb3d49e1117136b6e2054664d22c7e76ebbc,SOSIMSI12A81C217B5,1
958938d6ccd52f461ef457346ac09196be069016,SOGXBDL12AB018D5C5,1
b34dc35487996fcfbb06aac69caa759235ba2be9,SOBPNQA12A6D4F9A4B,1
e9870c5d36cd50fe8b513df5de6e1dc0e4c6f37c,SOUSMXX12AB0185C24,2
64d257e86f86c97ff665c3bee859da45cada0d70,SOIOJTM12A8C1346EE,2
ea51e632a05d9591427712b38e6eac053168e713,SOVDLZN12AB0185BEA,4
bfa2e5aca70a564e8f280049d1a638e05d6a7d27,SOZVCRW12A67ADA0B7,1
2dbe9b45bb2362b87c394dcd747f6fd514f81a66,SOQXHJD12A58A7CEF4,1
31d50f30be89544473644bbd89bde2a0cd695a40,SOSXTWL12A6D4F8A77,1
782bed59a35f60e45591b908452f3b30602468ac,SOQZYQH12A8AE468E5,1
8fb954c8de4ff5a05c762f3ae1b482bb1cf6a431,SOCPGOJ12A8AE45832,1
6622206ae643cac38de5a8acf588e2c2b3fd7523,SOHDKAD12A58A7A8EC,6
37efae44e93fa4cd55088ebba0390b70665eafb0,SOFTFMR12AB018BF5A,1
7ac815e4eddf5f892fd06b55ef666e25fceb930c,SOQBRZZ12A8C13ED6E,1
a12850eab2fde9b9e03fd0888e8ea5bfbc077838,SOGAUOB12A58A7AAC8,1
efcd38882f15b410c8cf64fee66029d3e2856588,SOSTLRK12AB0182ED9,1
6bc34127448cec146448be4bb483ad42da209931,SOHHTLM12A8AE4636C,2
76c51087035d23a02e6c43cb3634907a9e5c190e,SOOBUXN12AB01887FA,4
32269bd6204bccfacc08f0c04ce11e694a459e11,SOXHHAO12A8C139833,5
7da95b0f77f3f7e29f9de68549e50200d007a635,SOQAGIV12A58A7D228,1
5fea5c325a1629bf1c2533feba83a1a777ee4942,SOZGTRS12AF72A4E8B,1
5c712d932748dd0597f183a7fefa92a2504b5cc9,SOXZUAV12A6310F21A,1
297fe67d7b1d8a8b1cdb78ab5239203a39a2a3a0,SODYURC12A6701F0D0,2
9acce6b22c8ae6adbd9e0933fb0a374b149e8e88,SOECCQW12AC468675B,1
a5fbacd61cea45c5db6d1c4407df57ea99cb4f25,SOBLODX12AB017EA71,1
eec564c02c9d9305e4171370dac4d88f7bce9baa,SOUIDMZ12A8C13E43D,1
49ada807d88545ee02024552bdb37da2deb32d1f,SOWFMFQ12A6D4F79AA,1
7027785b2affbe6ca060095e8145a7af93e42389,SOMPVSY12A8C137A88,1
28790588e7dfe9b09a3bdebcafe9aa3732752a25,SOVALQH12AB0189114,2
2e7bcdd35716dda84446dfad01dd944b8fa4d98d,SOOFGCG12A6D4FD712,2
f5c5a4c24c0e6aac24f158bca091cf88be03f342,SOAJJDS12A8C13A3FB,9
cbca858fb9417b6a7cb295357a05ad5c69b5665d,SOXJUCD12A6D4FA2C8,1
e6555a03b29cc3053e5f2fd7fbf24cb4cac81406,SOMAWTH12A6D4FA5C2,4
